epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,490.992,0.63882,0.54727,0.97838,0.53748,0.52974,0.55832,0.47133,0.77432,1.78507,0.94629,0.000207252,0.000207252,0.000207252
57,499.291,0.67986,0.56142,0.99858,0.49298,0.5811,0.59895,0.50691,0.75943,1.77062,0.94531,0.000202748,0.000202748,0.000202748
58,507.916,0.66354,0.54927,0.98815,0.52788,0.58858,0.60994,0.50869,0.78635,1.70165,0.95314,0.000198244,0.000198244,0.000198244
59,516.373,0.66166,0.53934,0.98174,0.5395,0.55617,0.5618,0.46928,0.75834,1.75866,0.9398,0.000193739,0.000193739,0.000193739
60,525.86,0.64516,0.53503,0.97001,0.49263,0.59198,0.59793,0.50473,0.74855,1.76095,0.92881,0.000189235,0.000189235,0.000189235
61,533.898,0.66293,0.5516,0.98409,0.5382,0.57416,0.60112,0.51356,0.7395,1.76214,0.93001,0.00018473,0.00018473,0.00018473
62,542.019,0.64859,0.55957,0.98332,0.56277,0.52096,0.61163,0.52219,0.72095,1.67449,0.92894,0.000180226,0.000180226,0.000180226
63,551.207,0.67583,0.56166,1.00294,0.53287,0.57155,0.60525,0.51165,0.74566,1.6995,0.93511,0.000175721,0.000175721,0.000175721
64,561.229,0.63966,0.51056,0.97002,0.55808,0.53296,0.60419,0.51217,0.78142,1.69011,0.95567,0.000171217,0.000171217,0.000171217
65,569.256,0.61612,0.50502,0.95621,0.5276,0.57587,0.59062,0.50485,0.7624,1.7523,0.93959,0.000166712,0.000166712,0.000166712
66,577.533,0.62451,0.52046,0.97373,0.54272,0.53576,0.59325,0.49983,0.78072,1.74631,0.94834,0.000162207,0.000162207,0.000162207
67,585.86,0.62448,0.5131,0.96929,0.51361,0.58444,0.59025,0.50294,0.74481,1.75485,0.93435,0.000157703,0.000157703,0.000157703
68,594.855,0.62109,0.49283,0.95847,0.5269,0.54986,0.58991,0.49503,0.75691,1.81421,0.93621,0.000153198,0.000153198,0.000153198
69,603.326,0.61314,0.50408,0.96618,0.52749,0.56234,0.59303,0.50275,0.82232,1.83359,0.97218,0.000148694,0.000148694,0.000148694
70,613.641,0.59832,0.48364,0.94023,0.52493,0.55541,0.60058,0.51336,0.80913,1.8464,0.9633,0.00014419,0.00014419,0.00014419
71,622.913,0.62026,0.49178,0.96454,0.5181,0.5802,0.56668,0.47389,0.79467,1.75944,0.95538,0.000139685,0.000139685,0.000139685
72,631.385,0.59839,0.48782,0.9556,0.5355,0.57795,0.59094,0.50491,0.74003,1.7469,0.93056,0.000135181,0.000135181,0.000135181
73,639.782,0.61024,0.49374,0.9621,0.5402,0.57171,0.59045,0.49811,0.75064,1.75769,0.93829,0.000130676,0.000130676,0.000130676
74,649.117,0.61132,0.48694,0.96029,0.51933,0.57973,0.59488,0.51182,0.7671,1.76779,0.93765,0.000126172,0.000126172,0.000126172
75,658.305,0.59945,0.48704,0.9469,0.53056,0.5617,0.59881,0.50836,0.80579,1.82647,0.96045,0.000121667,0.000121667,0.000121667
76,666.702,0.58542,0.46967,0.94661,0.53495,0.54942,0.59656,0.50269,0.82159,1.85469,0.97336,0.000117163,0.000117163,0.000117163
77,675.302,0.59482,0.48394,0.95547,0.53564,0.54725,0.58826,0.49951,0.76887,1.78437,0.94244,0.000112658,0.000112658,0.000112658
78,684.149,0.58323,0.48228,0.94699,0.53709,0.55204,0.5876,0.5046,0.74521,1.76329,0.9313,0.000108154,0.000108154,0.000108154
79,692.998,0.57618,0.48094,0.96242,0.51924,0.55951,0.59287,0.50248,0.76887,1.77919,0.94221,0.000103649,0.000103649,0.000103649
80,701.232,0.56885,0.46784,0.95455,0.51688,0.55393,0.58927,0.49735,0.7805,1.83571,0.94467,9.91445e-05,9.91445e-05,9.91445e-05
81,709.901,0.58063,0.46219,0.94853,0.52298,0.56088,0.5872,0.49523,0.81301,1.84167,0.96275,9.464e-05,9.464e-05,9.464e-05
82,718.538,0.55709,0.45169,0.93216,0.53246,0.56336,0.59401,0.50581,0.79261,1.85035,0.94799,9.01355e-05,9.01355e-05,9.01355e-05
83,726.868,0.57356,0.46923,0.94918,0.52252,0.56339,0.59247,0.49868,0.79773,1.82887,0.94586,8.5631e-05,8.5631e-05,8.5631e-05
84,735.329,0.56539,0.45135,0.94985,0.52683,0.57472,0.5945,0.50767,0.79638,1.74014,0.94751,8.11265e-05,8.11265e-05,8.11265e-05
85,743.793,0.58328,0.46296,0.9575,0.52975,0.57457,0.59547,0.50522,0.79604,1.74626,0.95125,7.6622e-05,7.6622e-05,7.6622e-05
86,752.656,0.54151,0.43947,0.936,0.52912,0.56389,0.59587,0.50644,0.77882,1.75212,0.94179,7.21175e-05,7.21175e-05,7.21175e-05
87,761.244,0.55396,0.44087,0.93135,0.54701,0.55567,0.60181,0.51276,0.78131,1.71632,0.94488,6.7613e-05,6.7613e-05,6.7613e-05
88,769.612,0.54688,0.43133,0.93437,0.53106,0.56629,0.60163,0.51541,0.77479,1.70701,0.93706,6.31085e-05,6.31085e-05,6.31085e-05
89,778.738,0.5576,0.45156,0.93352,0.55033,0.55499,0.59828,0.51071,0.7791,1.70679,0.9366,5.8604e-05,5.8604e-05,5.8604e-05
90,788.348,0.55703,0.45228,0.94091,0.53767,0.56674,0.59862,0.50876,0.77133,1.69142,0.93232,5.40995e-05,5.40995e-05,5.40995e-05
91,833.111,0.5001,0.38302,0.89045,0.53906,0.54495,0.59013,0.49947,0.78302,1.76783,0.94791,4.9595e-05,4.9595e-05,4.9595e-05
92,841.112,0.47189,0.36111,0.88042,0.52393,0.56134,0.59156,0.49445,0.81806,1.76303,0.96531,4.50905e-05,4.50905e-05,4.50905e-05
93,849.744,0.45895,0.34831,0.87048,0.53413,0.55931,0.59409,0.50449,0.80621,1.76059,0.95746,4.0586e-05,4.0586e-05,4.0586e-05
94,857.84,0.45468,0.34952,0.8665,0.54862,0.52713,0.59575,0.4989,0.83021,1.78713,0.97173,3.60815e-05,3.60815e-05,3.60815e-05
95,865.989,0.43885,0.34585,0.86545,0.54822,0.53741,0.59409,0.50262,0.81107,1.76146,0.95896,3.1577e-05,3.1577e-05,3.1577e-05
96,873.949,0.45173,0.33807,0.86427,0.54538,0.53552,0.59524,0.50447,0.81712,1.7428,0.96662,2.70725e-05,2.70725e-05,2.70725e-05
97,881.913,0.43458,0.33424,0.86381,0.54509,0.54815,0.59678,0.50814,0.82488,1.72078,0.96882,2.2568e-05,2.2568e-05,2.2568e-05
98,889.925,0.44019,0.33282,0.87029,0.53891,0.55029,0.59698,0.50726,0.81953,1.75513,0.97152,1.80635e-05,1.80635e-05,1.80635e-05
99,898.088,0.42569,0.33472,0.85783,0.53703,0.55293,0.59558,0.5031,0.82612,1.75666,0.97427,1.3559e-05,1.3559e-05,1.3559e-05
100,905.924,0.43784,0.33566,0.86552,0.5331,0.55749,0.59471,0.50361,0.82799,1.76132,0.97495,9.0545e-06,9.0545e-06,9.0545e-06
